,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
0,4EFB.02.10.gene,0.001333289673204948,0.0002894997485018131,0.0003034235381370415,0.0003344385887727712,0.0008742500260603141,6.081628728557616e-05,0.01025729267273298,0.004014787889285425,0.0001273730298123832,0.0006650037833553861
1,4EFB.02.100.gene,3.22891877961919e-05,2.423691285846452e-06,1.430676622976569e-05,7.543604759751303e-06,1.423228346300049e-05,1.696084482330263e-07,0.01083637687981253,0.0001827539866258186,1.165854503399777e-05,4.172590900364595e-05
2,4EFB.02.101.gene,0.0002354562952788061,4.575378644842771e-05,5.227124368836979e-05,6.770509808877053e-06,0.0001056623675131644,7.14621370208401e-06,0.01311155567574362,0.0005626962950850099,7.040690110120226e-05,0.000110242310511238
3,4EFB.02.102.gene,0.0001742332302616973,0.0001587225180230684,0.000180352734569531,0.000127718893802787,4.22591492875354e-05,1.2614835373818e-05,0.010508960064115,0.0001254345685404557,6.203166132568088e-05,0.0003427598449778743
4,4EFB.02.103.gene,0.001201854891356999,0.0003752881675551635,3.007477736168e-05,0.00011803593735349,7.450808936840237e-05,4.43401257353897e-06,0.01071613152674258,0.0006195276190877291,3.201855446760469e-05,0.0001714232179275494
5,4EFB.02.104.gene,0.0001616456078508029,4.682673186268951e-05,0.0002155586799532967,6.445836076619048e-05,0.0001929016039835906,4.576392184162692e-06,0.01415759897634696,0.0004306505889278783,3.476595753634658e-05,0.001377099308668095
6,4EFB.02.105.gene,0.0001520414297813165,0.0003318737873717287,5.841678605065577e-05,0.0001777804972092094,0.00011754197024464,7.897170867750859e-05,0.0113517426222871,0.000811638924344071,0.000196802254764373,0.0003321020775620528
7,4EFB.02.106.gene,0.0006576040911930387,6.921090948538466e-05,3.918329535938511e-05,0.0001015124760576671,8.320417487078492e-05,4.849140295855527e-05,0.01109065231625815,0.0006073115075710287,0.0003088270573586,0.000624804673424227
8,4EFB.02.107.gene,9.660149205638792e-05,5.609942072311492e-05,3.795286864486507e-06,2.527334259320608e-05,3.618365840981749e-06,3.307577158211421e-06,0.01429548908643845,0.0008480572114317088,3.971027939435501e-06,2.511489093589326e-05
9,4EFB.02.108.gene,0.0006295240412104689,0.0002954722989927753,9.767035195412301e-05,0.0002595587200416174,0.0005095613465711821,4.133646169550093e-06,0.01089352546868563,0.001597399767118921,2.564525329749001e-05,0.0005338975441652493
10,4EFB.02.109.gene,1.694240727327379e-05,6.029479130484953e-05,7.629877635225461e-05,1.572885805196023e-06,7.761888072650217e-05,3.271156622725474e-05,0.01054787363455527,0.0005014036738762373,0.0002014397060177822,1.595481652501228e-05
11,4EFB.02.11.gene,0.0002020466150474756,0.0001176869395332505,0.0004515314729347723,0.0002169072111124224,0.0001742015630285165,2.321950583607257e-06,0.01469643317911662,0.0007924100973664824,2.747737586148113e-05,0.001157730431471431
12,4EFB.02.110.gene,0.0001231894352102891,3.742950633165108e-05,1.028129395612672e-05,1.031129378949759e-05,7.743523007065453e-06,1.519303751624299e-06,0.01014914238650313,0.0003111002388434478,1.998069530483839e-05,6.087998377769793e-05
13,4EFB.02.111.gene,0.0001153715084999582,9.140397277923116e-05,5.553177677708016e-05,1.431864928964519e-05,4.435650716229425e-05,7.091548764061596e-06,0.01242489132668602,0.0005811139633638366,3.558355906485296e-05,0.0002719592724175251
14,4EFB.02.112.gene,0.0001144575298931217,1.492264754411635e-05,0.0001949150863225613,3.826375187716824e-05,0.0001512024049935603,2.016136153913822e-05,0.0146496136728943,0.001191445677837129,0.0004172452914905978,0.0006595977869784401
15,4EFB.02.113.gene,0.0001458351307033499,0.0001083756063336077,0.0003717118272437544,0.0001447458989022682,4.808536205063225e-05,1.498776519569306e-05,0.02039159598467047,0.0002677688569255989,0.0001662310144634698,0.0001725123270232328
16,4EFB.02.114.gene,0.0001594584358550858,0.0002633099988139431,0.0005038087498620253,9.891324611358133e-05,2.933451220601686e-05,2.34172743104671e-05,0.01182765067358977,0.00012317187284402,0.0002139108410599057,0.0007755790567900919
17,4EFB.02.115.gene,0.0002698646064981748,0.0002856095910447964,0.0002757354894041077,3.619357543668568e-05,0.0001343662828340983,0.0004500244688016753,0.0120294369223119,0.0009413246953595701,0.0008349129650798246,0.0002595826594629454
18,4EFB.02.116.gene,4.644705655124427e-05,7.0457455527925e-05,2.927189936850627e-05,0.0001244502257860384,6.48443934369425e-05,2.584367519211938e-05,0.01501782444134933,0.0001986535251486143,0.0001620737986256153,0.0004076100734437053
19,4EFB.02.117.gene,0.0005326414500142225,0.0001571401441707635,6.409997782265711e-05,0.0001544258054896676,0.0003147057900473096,4.583729127564637e-05,0.01070084330207336,0.0007724483664934309,0.0001175832010696786,0.0004119211936614659
20,4EFB.02.118.gene,0.0005092136445947362,0.0003179211107343163,9.384779152170248e-05,0.001273937109113686,0.0002749348051857458,1.948398039411593e-05,0.01726287437874335,0.0001825888041526672,2.405477953150124e-05,0.0009744899129414528
21,4EFB.02.119.gene,0.000553877331308437,0.000129252739548077,0.0003528851646061542,3.311681473317657e-05,0.0001271026619697337,4.829200245617464e-06,0.01287273992545459,0.0003938412026225377,6.574109552513262e-05,0.0001286027258993686
22,4EFB.02.12.gene,0.0001421386382369317,1.258285945906055e-05,0.0001884800072563847,3.544450738855643e-05,8.720030693697781e-06,2.224232444461661e-06,0.02055240814615147,0.0002480393762947176,0.0003024914649434541,0.0002050538459491795
23,4EFB.02.120.gene,0.0001935806588122973,0.000549377023017551,8.321937707703395e-05,0.0002592188677141395,0.0001628888761672084,4.309094013563904e-05,0.01341490523539493,0.0005631660138717189,0.0002646144289641087,7.714878673772511e-05
24,4EFB.02.121.gene,0.0001075076808515936,0.0003167788723185293,4.017514407145002e-05,0.0001053768208886103,2.138487746959007e-05,4.315310722089767e-06,0.01549051947865502,0.0003086943452681726,0.0002626942674836272,6.990334903442298e-05
25,4EFB.02.122.gene,6.081207202297495e-05,0.0001986780876530791,9.595716347484148e-06,1.503830014900185e-06,9.59207156352957e-07,1.897451103596125e-06,0.01819144851643735,0.0007175213590796592,6.251346809436855e-05,1.930561052158086e-05
