,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
0,4F4D.01.1.gene,0.0009686684385074926,0.0550709329519682,3.210543464771451e-05,0.00113465631916279,0.0004936269141963025
1,4F4D.01.10.gene,0.001758314886183002,0.05198252314168395,4.295919744999506e-06,0.001237829352263169,0.0002039476491555321
2,4F4D.01.100.gene,0.00158524389067298,0.05783194606052259,1.970456710393997e-05,0.000949421294959539,0.001307682328756083
3,4F4D.01.11.gene,0.003391832153125275,0.05816360359077444,3.6250514220827e-05,0.002347990783163219,0.000369756276280625
4,4F4D.01.12.gene,0.001253878951126557,0.06295802337493508,2.030826615132076e-05,0.0003518961972249553,0.0004531332965186735
5,4F4D.01.13.gene,0.004225138778691613,0.05548872429661784,2.187175373581709e-05,0.0006369956072387873,0.000322085731837089
6,4F4D.01.14.gene,0.01150604975780612,0.05213912196506705,0.0004432613882487909,0.002274138433405688,0.000705108044656259
7,4F4D.01.15.gene,0.001555348405496899,0.05231777788300907,0.0001390699360067521,0.002262434453999862,0.001089722795766767
8,4F4D.01.16.gene,0.002535990120420239,0.0757843840262928,0.000161224950433047,0.002610649925539618,0.001930054572717925
9,4F4D.01.17.gene,0.007665701990772162,0.05039994932107874,0.000112814000641968,0.003059503132134385,0.001147652306797107
10,4F4D.01.18.gene,0.01405457705127375,0.05052983588213578,0.0003791438331649586,0.002266587775050274,0.001013539808880522
11,4F4D.01.19.gene,0.001491142297791342,0.05241808616703787,1.820752568363213e-05,0.0006868874099658221,0.0002305070184516214
12,4F4D.01.2.gene,0.001083405563398999,0.05650401489289319,2.687519461509465e-05,0.0009945062963198044,0.000244106736042789
13,4F4D.01.20.gene,0.007957547079160004,0.05375281818233756,0.0002009381026654818,0.001591906393452818,0.0007615000435709142
14,4F4D.01.21.gene,0.003329759666559281,0.05271983636811497,4.362934664981032e-05,0.0007699957029433601,0.0007054356173626162
15,4F4D.01.22.gene,0.002640776925892078,0.07055888492580083,1.323215304609541e-05,0.0008187769015052035,0.0004566616245296895
16,4F4D.01.23.gene,0.002435475287834723,0.05457284864453067,9.845591327985238e-05,0.0006871785259069587,0.0007714091787482581
17,4F4D.01.24.gene,0.0007075805839641404,0.05244908796679169,4.428674073564655e-05,0.002337481581250017,0.0003313143302344343
18,4F4D.01.25.gene,0.002574995280676021,0.067054581738413,0.0001108845129630454,0.001288758308585054,0.001841721706220279
19,4F4D.01.26.gene,0.001950027297424326,0.05039395692792974,3.873235107234021e-05,0.00185444127605274,0.001296319767427946
20,4F4D.01.27.gene,0.004739244227794411,0.06107266157113577,0.0002843391556701319,0.002073643105166581,0.001671700445060543
21,4F4D.01.28.gene,0.001672957262449556,0.05385829588740609,1.187893716804902e-05,0.001082748927975907,0.000308429309959493
