,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han
0,4EFB.02.10,0.0003570654981293261,1.026133821227375e-06,4.790092981881528e-05,6.228599729850789e-09,0.0004433668493459062,6.955424854142137e-08,0.0001206606406429953,0.004014787889285425,1.160817491108818e-06,0.000579511865988964
1,4EFB.02.100,9.271571881552808e-12,1.855980836365149e-25,4.032385450527314e-08,2.153376521734308e-14,2.787507948623772e-06,3.391591577133389e-19,0.01083637687981253,6.747796342473562e-05,5.630534857248751e-07,3.527554204433121e-06
2,4EFB.02.101,1.723971891323264e-05,8.839926370051205e-08,1.882031198094246e-06,2.282743362631348e-13,0.0001056623675131644,7.390344792888506e-09,0.01311155567574362,0.0001036069126444034,2.621762077510652e-07,0.000110242310511238
3,4EFB.02.102,3.643633556305396e-07,9.587712290992e-07,8.131006090488205e-06,9.581189563822668e-10,3.362635097470531e-07,1.578322372158577e-07,0.010508960064115,0.0001254345685404557,5.587015866690795e-06,7.117993388239878e-05
4,4EFB.02.103,0.001201854891356999,1.069759490624039e-05,1.191934954606234e-06,3.861774135368646e-11,7.450808936840237e-05,9.88934330346693e-07,0.01071613152674258,0.0006195276190877291,1.396184912590761e-06,7.538528004921492e-06
5,4EFB.02.104,6.464572909588556e-05,2.413123873250555e-10,1.873686397846411e-05,6.746634496557582e-07,0.0001929016039835906,1.198798177483957e-09,0.01415759897634696,0.0004306505889278783,2.354064063180718e-06,9.772101566169336e-06
6,4EFB.02.105,0.0001520414297813165,0.0002896693045529928,8.463480022697283e-06,4.171951815292816e-06,8.655734620658341e-05,2.370437463932052e-05,0.0113517426222871,0.000811638924344071,8.472101410863442e-06,0.0002855984101541575
7,4EFB.02.106,0.0003925231266969318,5.653334543834185e-07,5.307871231090017e-06,3.032132811424442e-12,8.320417487078492e-05,3.022052982049791e-05,0.01109065231625815,0.0006073115075710287,2.617386703012542e-05,3.424401447310637e-05
8,4EFB.02.107,9.660149205638792e-05,5.281692416590794e-28,4.010898072445838e-08,2.0497421900317e-13,1.752523946891601e-08,5.880548230285465e-16,0.01429548908643845,0.0006233471981246313,4.288210963065371e-15,2.127523487407096e-05
9,4EFB.02.108,0.0002362558957249091,4.316978197483155e-05,6.747117028573711e-06,8.886229171556151e-06,0.0004092623217319594,5.759746080841293e-07,0.01089352546868563,0.001597399767118921,1.889545332066698e-05,0.000169967387809595
10,4EFB.02.109,4.17817535538014e-06,5.888502079905647e-22,5.719591665661358e-07,4.870661334762525e-11,8.680424411981295e-09,1.960496045207445e-10,2.707180953243336e-18,0.0005014036738762373,2.141761104449724e-11,2.781631346626362e-09
11,4EFB.02.11,3.220690649667562e-05,2.252368625961488e-07,4.566327214147035e-08,4.55959932948912e-07,1.055975694421493e-06,3.357163593757247e-11,0.01469643317911662,6.063581387951299e-08,4.309120454081515e-10,5.69317199717199e-06
12,4EFB.02.110,9.785681648535628e-10,4.145826490845187e-09,3.125673998203682e-07,1.248887649816812e-14,2.861009658685643e-10,7.334289712541967e-41,0.01014914238650313,4.205570656448805e-13,1.853207590287016e-29,3.200030765150592e-11
13,4EFB.02.111,7.353669333187841e-05,6.910977913137284e-07,4.078328881758023e-07,1.573507685442448e-07,2.224805351297441e-05,2.592549924024467e-07,3.69192560014795e-07,0.000399386742582013,1.342593215707571e-07,0.0001178296710852567
14,4EFB.02.112,9.732434154036611e-09,1.652054651239075e-08,6.725278288998832e-07,2.991432604533672e-11,1.462622616590747e-05,4.733311732294306e-11,0.003303856495053188,0.001191445677837129,1.520294052187348e-07,8.749889655811857e-05
15,4EFB.02.113,2.983830878229281e-10,2.46004705075682e-13,1.12136345212328e-07,5.954065932736627e-08,1.024739134900146e-12,5.829429842355279e-15,0.02039159598467047,8.989227893564949e-11,1.360965044902174e-12,3.63529507601323e-10
16,4EFB.02.114,2.88483185608384e-05,0.0002633099988139431,5.494614615439075e-08,7.658398626895073e-08,8.067194107564699e-06,7.620415476371849e-09,0.01182765067358977,0.00012317187284402,3.056179670067624e-07,3.332447007821992e-05
17,4EFB.02.115,3.701132014616971e-05,1.178926560638351e-07,1.802411366728662e-06,4.461234009414126e-12,3.294864682731712e-05,1.301829559915721e-08,1.499204090802541e-06,0.0009413246953595701,2.836962087920156e-08,0.0001816992940777505
18,4EFB.02.116,2.0170122219092e-05,1.652478425729449e-07,1.51490562700972e-08,5.871854842436919e-13,5.371346863014843e-05,6.156075836661848e-08,0.01138405396396485,0.0001986535251486143,3.591457044466373e-06,9.295301600619344e-05
