,Genes,89D2,4F4D,5F62,4F55,5E8F
0,4F4D.01.1,4.500670874814926e-05,0.0550709329519682,1.008616296411916e-07,0.000698992243697713,0.0001972765374830653
1,4F4D.01.10,5.254968367019424e-05,0.05198252314168395,1.286013663083876e-07,0.0001229706209402584,3.683116564381561e-05
2,4F4D.01.100,8.215920561301741e-06,0.05783194606052259,1.13558070068038e-07,5.466443203794966e-05,7.513014256115145e-05
3,4F4D.01.11,9.406460563947681e-05,0.05816360359077444,8.548840428969604e-08,0.0004836251190567279,5.017055556363293e-05
4,4F4D.01.12,8.330533173419689e-06,0.06295802337493508,9.729501727148857e-08,7.065728425408629e-05,3.962118421814456e-06
5,4F4D.01.13,4.771568753536538e-05,0.05548872429661784,3.379782851058901e-07,0.0001112592422369392,0.0001218330790642164
6,4F4D.01.14,0.0008058113789398381,0.05213912196506705,3.317880619732572e-06,0.001246283629998682,0.0002336423587172086
7,4F4D.01.15,0.0001340069577905912,0.05231777788300907,3.464271953132195e-06,0.0006133367176996482,0.001089722795766767
8,4F4D.01.16,2.778101323674303e-05,0.01387600163608533,1.186626338344704e-06,0.001241492597716164,0.0001458897211361786
9,4F4D.01.17,5.834040544688465e-05,0.05039994932107874,1.872641275961129e-05,8.24343717788224e-05,0.001147652306797107
10,4F4D.01.18,0.0001244934390451704,0.01867605960701587,1.216811603993655e-06,2.774981634698963e-05,0.0004077667014822817
11,4F4D.01.19,7.545056063734409e-06,0.05241808616703787,9.293202496036002e-07,8.613700575110277e-05,6.171856973743917e-05
12,4F4D.01.2,2.702050362882929e-06,0.05650401489289319,7.106493353567609e-06,7.846997749493612e-05,1.07303712045127e-09
13,4F4D.01.20,0.0001293128187960674,0.05375281818233756,6.365702736707111e-06,0.000252183363234227,0.0001451159399971748
14,4F4D.01.21,6.603706634943089e-05,0.05271983636811497,1.756186125362003e-05,0.0003850849695900697,0.0001104728187286325
15,4F4D.01.22,1.990988982941766e-07,5.97097380128919e-11,5.344114150830285e-06,7.554364759377904e-05,9.790555190526143e-05
16,4F4D.01.23,3.637285989660287e-05,0.05457284864453067,3.512371513250479e-06,1.56334739252771e-05,0.0002744191733754551
17,4F4D.01.24,0.000106274068615173,0.05244908796679169,2.155296512809815e-08,1.595119918878369e-05,4.698401673377951e-05
18,4F4D.01.25,0.0001993054253243652,0.067054581738413,5.147190066942015e-07,0.001288758308585054,0.0005382805234572804
19,4F4D.01.26,6.233632856970965e-06,0.05039395692792974,1.208403768097007e-08,0.0002433747826988735,0.0008098191509338039
20,4F4D.01.27,0.0002356787986335899,0.06107266157113577,5.62745157964817e-06,0.0005187342916735486,0.0004547587005567804
21,4F4D.01.28,1.979561467860646e-05,0.05385829588740609,8.119380486404855e-08,0.0006852699394624594,0.0001070775536443906
22,4F4D.01.29,2.297983367515243e-05,0.05263158891781858,6.047267912053777e-07,0.0004732935037940527,0.0001436205116125777
23,4F4D.01.3,0.000138467598782344,0.05489274337324428,4.099957521261047e-06,0.001499849810660181,9.937885072746793e-05
24,4F4D.01.30,0.0001032851885518832,0.05194994108520563,6.285353548812543e-06,2.083908000901734e-05,0.0001899605150395937
25,4F4D.01.31,7.565689358122578e-06,0.05352772664582123,9.532656031414263e-07,4.143933570377556e-05,0.0003923540814264994
26,4F4D.01.32,5.843710990846376e-05,0.0529846210811793,3.79693358391546e-06,0.0005779857026575506,0.0002749800668914268
27,4F4D.01.33,1.119893314431797e-07,0.05019259452765763,9.078865985443386e-22,1.547832158924763e-05,3.391887988141381e-08
28,4F4D.01.34,0.0004815375034730678,0.07618148573421918,2.761712221528946e-07,0.001247181801279609,8.124671430144415e-05
29,4F4D.01.35,3.197308510510167e-06,0.05535290508864752,2.742087869597023e-06,4.319580400977316e-05,1.720953534060101e-05
30,4F4D.01.36,3.185458785976894e-06,0.0570488048274817,2.896444626659851e-06,6.86665749675315e-05,2.0237054727582e-05
31,4F4D.01.37,3.959088509727328e-06,0.05496201378492742,2.37161167083536e-06,0.0002689473661740842,0.0009738922678898352
32,4F4D.01.38,9.609550597848075e-05,0.05174818203359949,5.568239730174614e-06,0.000412812865700425,0.0002580933045514023
33,4F4D.01.39,3.159947482736993e-05,0.0641795630027895,5.712039820221443e-05,0.001296634060446821,0.0001015110128160438
34,4F4D.01.4,8.495607822821789e-06,0.05133395651467338,1.558554369069593e-05,8.269891379956709e-05,5.709726579898222e-09
35,4F4D.01.40,1.254292379373701e-07,0.05114312915221787,2.417933359365856e-09,0.0003332691694624885,2.007522564583049e-05
36,4F4D.01.41,1.924083119975e-06,0.05127809934687564,6.313700840628579e-06,0.0008773968854402905,0.0002445199472542173
37,4F4D.01.42,3.855402573448895e-05,0.05409978940783129,1.087010412965749e-05,4.444315134359643e-05,0.0005201776296755081
38,4F4D.01.43,0.0001845195165516883,0.05944554179278937,3.162370841434167e-06,9.089039962841497e-05,0.0001969267095828412
