,Genes,6709.han,81F3.han,5411.han,5408.han,5217.han,5B89.han,4EFB.han,5728.han,5B57.han,6210.han,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
0,4EFB.2.1,0.0001031825318209632,0.0001000258534050633,0.0005822987822028922,4.430107213535601e-07,6.098342704872878e-05,4.607095057566751e-09,0.2009721093859917,0.007402371145671425,3.442197631760303e-06,0.001935912874134199,0.0001031825318209632,0.0001000258534050633,0.0005822987822028922,4.430107213535601e-07,6.098342704872878e-05,4.607095057566751e-09,0.2009721093859917,0.007402371145671425,3.442197631760303e-06,0.001935912874134199
1,4EFB.2.10,0.0001296020630071127,0.0002155583803186173,0.0006089100283344358,6.136056630628957e-07,0.001722240444675599,2.32365531302801e-07,0.2086181203229363,0.01035337953860589,2.159787824014192e-06,0.0005671029887898641,0.0001296020630071127,0.0002155583803186173,0.0006089100283344358,6.136056630628957e-07,0.001722240444675599,2.32365531302801e-07,0.2086181203229363,0.01035337953860589,2.159787824014192e-06,0.0005671029887898641
2,4EFB.2.11,0.002131855595284249,6.34709136523566e-05,0.000520963354955065,6.459785344560168e-05,0.001715330671083057,6.195622621916225e-05,0.2125022264934223,0.005868398092058029,5.33404363624412e-05,0.005142903173390053,0.002131855595284249,6.34709136523566e-05,0.000520963354955065,6.459785344560168e-05,0.001715330671083057,6.195622621916225e-05,0.2125022264934223,0.005868398092058029,5.33404363624412e-05,0.005142903173390053
3,4EFB.2.12,0.002082869146826751,0.000527892684052314,0.0004125741021530514,0.003454947573656422,0.00120196172111328,2.752093430078848e-05,0.207720919891055,0.01933701987158731,2.82362808783934e-05,0.001818239663985229,0.002082869146826751,0.000527892684052314,0.0004125741021530514,0.003454947573656422,0.00120196172111328,2.752093430078848e-05,0.207720919891055,0.01933701987158731,2.82362808783934e-05,0.001818239663985229
4,4EFB.2.13,9.012715170348646e-05,2.285967025042367e-05,2.871850917420801e-05,7.589337915177358e-09,0.0001000951474035387,4.18858551381997e-07,0.2107049646295421,0.004990239398949613,6.711025816713525e-09,0.0005175662455670338,9.012715170348646e-05,2.285967025042367e-05,2.871850917420801e-05,7.589337915177358e-09,0.0001000951474035387,4.18858551381997e-07,0.2107049646295421,0.004990239398949613,6.711025816713525e-09,0.0005175662455670338
5,4EFB.2.14,0.0007789689222581359,1.498561746772658e-05,0.0005678146588592462,0.001245942255686499,7.220574609874908e-05,7.305109247161441e-09,0.2124287296045458,0.006575752498413778,8.980968704079528e-09,0.0003852380172578708,0.0007789689222581359,1.498561746772658e-05,0.0005678146588592462,0.001245942255686499,7.220574609874908e-05,7.305109247161441e-09,0.2124287296045458,0.006575752498413778,8.980968704079528e-09,0.0003852380172578708
6,4EFB.2.15,0.0001659422521451106,0.0007607609623933291,0.0001191307532406676,1.617352653933116e-05,0.001942487748314177,4.415237253529394e-05,0.206119197003043,0.0005206742473061825,5.845050893002298e-05,0.0004289199902691203,0.0001659422521451106,0.0007607609623933291,0.0001191307532406676,1.617352653933116e-05,0.001942487748314177,4.415237253529394e-05,0.206119197003043,0.0005206742473061825,5.845050893002298e-05,0.0004289199902691203
7,4EFB.2.16,0.002138540437513161,2.120652444270365e-06,3.964774351665975e-05,1.647874803217755e-05,9.94332497499549e-07,6.126208228077671e-09,0.2272769228518867,0.004807669032207623,1.45120055946225e-08,0.0004833941077406002,0.002138540437513161,2.120652444270365e-06,3.964774351665975e-05,1.647874803217755e-05,9.94332497499549e-07,6.126208228077671e-09,0.2272769228518867,0.004807669032207623,1.45120055946225e-08,0.0004833941077406002
8,5408.2.2,0.002919572708630315,0.0008308423330936617,0.0001899457937597291,0.2015331170526148,7.121046017459855e-10,5.204316067140204e-09,0.000109242212769607,0.0001876871088265393,6.013068760266373e-06,3.299934655220351e-07,0.002919572708630315,0.0008308423330936617,0.0001899457937597291,0.2015331170526148,7.121046017459855e-10,5.204316067140204e-09,0.000109242212769607,0.0001876871088265393,6.013068760266373e-06,3.299934655220351e-07
9,5408.2.20,0.005501505289863383,1.960198735997663e-06,0.0002321099915979672,0.2006778064958058,9.672455118258798e-07,4.608045694058485e-07,0.0005735721712220752,0.0001539511555280192,1.01162829642707e-05,5.256057612214785e-05,0.005501505289863383,1.960198735997663e-06,0.0002321099915979672,0.2006778064958058,9.672455118258798e-07,4.608045694058485e-07,0.0005735721712220752,0.0001539511555280192,1.01162829642707e-05,5.256057612214785e-05
