,Genes,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
0,4EFB.2.1,0.0001031825318209632,1.602504957775072e-07,2.605148559842014e-07,3.401008673454829e-07,6.098342704872878e-05,3.709569253828339e-05,0.2009721093859917,0.007402371145671425,1.545759137474212e-06,0.000237529581364026
1,4EFB.2.10,0.0001296020630071127,2.659528084210597e-08,2.218759183505681e-05,4.502434441630316e-06,0.001722240444675599,9.99321890461447e-06,0.2086181203229363,0.01035337953860589,6.49391608738081e-08,0.0006442663229150303
2,4EFB.2.11,0.002131855595284249,1.155006017124493e-06,0.003398568149027557,6.872707783976665e-05,0.001715330671083057,7.417739640916768e-07,0.2125022264934223,0.005868398092058029,5.33404363624412e-05,0.0008309224345644351
3,4EFB.2.12,0.002082869146826751,0.0003304114957010268,0.001773975798028828,0.0006170767170470646,0.00120196172111328,3.878575101006365e-05,0.207720919891055,0.01933701987158731,2.895535918163285e-05,0.001818239663985229
4,4EFB.2.13,9.012715170348646e-05,8.006364425639473e-10,9.743934953081416e-11,4.901251452528773e-08,1.279305700428781e-06,9.966533545875563e-26,0.2107049646295421,0.003366763438802363,3.113001647921723e-06,0.0004015761325123087
5,4EFB.2.14,0.0001128178410880773,4.931804144519849e-07,2.059375611787774e-05,0.001227620911625941,3.08511980575224e-05,1.801226326294257e-09,0.0004186666008908728,0.0004120397021964462,3.7885049444099e-09,0.0001649509869355161
6,4EFB.2.15,0.0001659422521451106,0.0002976317107497825,8.225961630795832e-05,9.997177717897145e-06,0.0009210048615607144,4.415237253529394e-05,0.0004174551978457981,0.0005206742473061825,2.867753817646674e-05,0.0001470757783537349
7,4EFB.2.16,0.002138540437513161,8.907054942590279e-06,0.001771482115146682,2.003092243056135e-09,9.94332497499549e-07,2.926148967122899e-08,0.2272769228518867,0.004807669032207623,1.714561393183889e-05,0.0004833941077406002
8,5408.2.2,0.002919572708630315,7.4247297050512e-07,3.466615013991946e-08,0.2015331170526148,5.005910021301109e-06,6.46402484492626e-08,0.000109242212769607,0.0001876871088265393,5.238033421246923e-09,5.037537851519225e-07
9,5408.2.20,0.005501505289863383,5.963498590838153e-06,8.791353822416752e-05,0.2006778064958058,3.396636938207146e-05,4.608045694058485e-07,0.0001795674610709182,7.232493690944051e-05,4.73602597498921e-07,8.518588135664887e-05
10,5408.2.4,0.003177300077194429,0.001364882426881792,0.0002728645868917446,0.2097442347603892,0.0002407425256105375,2.845087232343547e-06,0.0001347148036506332,4.083055210166453e-05,2.497365610171709e-08,1.111508076073806e-05
