,Genes,89D2,4F4D,5F62,4F55,5E8F
0,4F4D.01.1,1.990011988556333e-05,0.0550709329519682,3.066137220006193e-05,0.000698992243697713,0.0001972765374830653
1,4F4D.01.10,8.322785197329387e-05,0.05198252314168395,1.286013663083876e-07,0.0001229706209402584,0.0001927106562411184
2,4F4D.01.100,7.014513441310688e-05,0.05783194606052259,1.346297621812728e-06,4.685416939304588e-05,0.001307682328756083
3,4F4D.01.11,5.442147232461132e-05,0.05816360359077444,1.618299569880923e-10,0.0001337282199274366,6.330685276839373e-05
4,4F4D.01.12,2.158817564709816e-05,0.06295802337493508,4.835671606320122e-06,7.065728425408629e-05,0.0001906832239261574
5,4F4D.01.13,0.0002396841312866932,0.05548872429661784,3.379782851058901e-07,0.0001067974701998734,0.0001507563406791367
6,4F4D.01.14,0.001985820028529504,0.05213912196506705,3.61307095288376e-07,0.0005389607781634589,0.0001698624680560808
7,4F4D.01.15,0.001261251496913487,0.05231777788300907,2.803911964415692e-06,0.0006950306258941614,0.0004119559439927071
8,4F4D.01.16,0.0002433190055480155,0.0757843840262928,8.074977586692133e-07,0.001002547846853611,0.0005981202272517668
9,4F4D.01.17,0.0001842852578303149,0.05039994932107874,1.872641275961129e-05,8.24343717788224e-05,0.0005864215890672733
10,4F4D.01.18,4.35033384406625e-05,0.05052983588213578,9.697199780752775e-06,6.880301151802522e-05,0.0003146541268304133
11,4F4D.01.19,1.431935312452761e-06,0.05241808616703787,1.449626584699749e-05,8.613700575110277e-05,0.0002008886588190799
12,4F4D.01.2,1.952086933169213e-05,0.05650401489289319,2.099822638125709e-06,7.846997749493612e-05,6.275652343135344e-06
13,4F4D.01.20,0.0001293128187960674,0.05375281818233756,2.164488455144062e-05,0.000631071128673323,0.0006594227059919545
14,4F4D.01.21,0.0002122115083193808,0.05271983636811497,1.756186125362003e-05,6.255469312352228e-05,0.0007054356173626162
15,4F4D.01.22,7.869694485511336e-05,5.97097380128919e-11,5.272199034150012e-06,3.668748517901938e-11,3.006080981083603e-09
16,4F4D.01.23,3.338168448134263e-07,0.05457284864453067,3.512371513250479e-06,9.199307208647096e-06,0.0002744191733754551
17,4F4D.01.24,0.0001564629655107842,0.05244908796679169,2.29269576246576e-08,0.0001314679416860489,0.0002163816963262694
18,4F4D.01.25,0.0001993054253243652,0.067054581738413,9.591079756015553e-06,0.001288758308585054,0.0007612086401027153
19,4F4D.01.26,0.0001935478805626555,0.05039395692792974,1.880010058343047e-07,0.0001584098534910359,0.001083396770002245
20,4F4D.01.27,0.0002870810452537166,0.06107266157113577,9.158949005215946e-06,0.0005187342916735486,0.001671700445060543
21,4F4D.01.28,6.1144965725711e-05,0.05385829588740609,2.586533407115057e-07,4.247563354749705e-05,0.000113100490077307
22,4F4D.01.29,0.0002114526522446849,0.05263158891781858,3.082446507255082e-06,0.0004732935037940527,0.0001610914637978016
23,4F4D.01.3,0.0002128385165590974,0.05489274337324428,0.0003049020416646569,0.001499849810660181,0.0002191751790399426
24,4F4D.01.30,0.0001234147539580566,0.05194994108520563,8.387011237436203e-06,4.507154401316788e-05,0.0001329496996026071
25,4F4D.01.31,2.963588674174577e-06,0.05352772664582123,1.826155048853377e-06,4.143933570377556e-05,0.0003923540814264994
26,4F4D.01.32,8.3968211838862e-05,0.0529846210811793,1.185054307059129e-05,0.0005779857026575506,0.0003609775735020032
27,4F4D.01.33,3.79798293944405e-11,1.504640917009684e-14,4.976799670360404e-27,2.263843292305184e-11,5.160163369685316e-25
28,4F4D.01.34,0.0004815375034730678,0.07618148573421918,2.710025138904241e-07,0.001247181801279609,0.0004731147529017887
29,4F4D.01.35,2.601939450380003e-05,0.05535290508864752,9.330887807987492e-06,4.319580400977316e-05,2.2425872166138e-05
30,4F4D.01.36,5.247359837424673e-05,0.0570488048274817,2.890660692574514e-06,6.86665749675315e-05,0.0003884340220411417
31,4F4D.01.37,5.657811795642313e-05,0.05496201378492742,9.909339100504706e-06,4.70764039897852e-05,0.0009738922678898352
32,4F4D.01.38,0.0006192750867672368,0.05174818203359949,5.568239730174614e-06,0.0004543430632761348,0.0002580933045514023
33,4F4D.01.39,4.160306878868063e-05,0.0641795630027895,1.073524936740115e-05,0.001253888146462265,0.000400901736660878
34,4F4D.01.4,3.839263724214698e-05,0.05133395651467338,1.653744283704938e-06,7.193010786457942e-05,0.001303689233419863
35,4F4D.01.40,5.493723669852738e-06,0.05114312915221787,4.525344826234719e-05,0.0003332691694624885,0.0003719596567712934
36,4F4D.01.41,4.383963903813197e-05,0.05127809934687564,6.313700840628579e-06,0.0008773968854402905,0.0006933253628806696
37,4F4D.01.42,3.855402573448895e-05,0.05409978940783129,1.154569491638986e-05,4.444315134359643e-05,0.0003698935063704484
38,4F4D.01.43,0.0001845195165516883,0.05944554179278937,1.790199448061764e-05,1.582540486915506e-06,0.001227455156712483
39,4F4D.01.44,0.0002649975924096558,0.06688023757580755,1.442441631223311e-07,0.0002032404697482379,0.0003827213632260979
40,4F4D.01.45,0.0002425086830364311,0.0540847111456341,3.038271055352285e-06,0.0004215037107639457,0.0005925977180202366
41,4F4D.01.46,6.601199758590212e-07,0.06174820921826795,2.169121332218183e-05,1.756660349419526e-05,0.0001953742857211486
42,4F4D.01.47,1.977121563577636e-05,0.0516582864102136,9.491133714007128e-06,2.350575269303409e-05,0.0003965393589889558
43,4F4D.01.48,1.681223090519177e-06,0.05580142552457376,5.707257690516832e-05,5.864496430698725e-05,5.709438569218119e-05
44,4F4D.01.49,1.750181098389137e-05,0.05425665499393997,1.018885081558218e-05,0.0001289178420906984,0.001032339156076042
45,4F4D.01.5,0.0001129073405012733,0.06043697999446293,8.039547147517767e-07,0.0001485955024499017,0.0003518972302266893
46,4F4D.01.50,2.388933910546263e-08,1.173778988025589e-09,4.465028798460517e-18,2.014606930975798e-09,8.481027345709189e-10
47,4F4D.01.51,1.660206687776504e-05,0.05289836410400307,1.770070018758908e-06,0.0003135815750860308,0.0001903859173723202
