,Genes,6709,81F3,5411,5408,5217,5B89,4EFB,5728,5B57,6210
0,4EFB.2.1,0.0001031825318209632,0.0006126615030247639,0.0005822987822028922,3.401008673454829e-07,0.0001146088504751885,3.709569253828339e-05,0.2009721093859917,0.007402371145671425,0.0001697663105946647,0.001935912874134199
1,4EFB.2.10,0.0001296020630071127,0.0005093183491603533,1.345528463244398e-05,4.502434441630316e-06,0.001722240444675599,9.99321890461447e-06,0.2086181203229363,0.01035337953860589,1.259482365359303e-05,0.0006442663229150303
2,4EFB.2.11,0.002131855595284249,0.000258858903755789,0.003398568149027557,6.872707783976665e-05,0.001715330671083057,3.250925526531656e-05,0.2125022264934223,0.005868398092058029,9.1648329743137e-05,0.005142903173390053
3,4EFB.2.12,0.002082869146826751,0.008084499938168224,0.000750039354991411,0.004934385501210474,0.002066981605351795,2.752093430078848e-05,0.207720919891055,0.01933701987158731,3.333247853947886e-05,0.001818239663985229
4,4EFB.2.13,9.012715170348646e-05,0.000120540291646993,1.268859215704726e-10,1.84461232295413e-06,0.0001000951474035387,2.543567381643968e-06,0.2107049646295421,0.003366763438802363,1.154385851012485e-05,0.0005175662455670338
5,4EFB.2.14,0.0001128178410880773,1.874973637770362e-06,0.0005678146588592462,0.001227620911625941,0.0001852847697010516,3.845223866900052e-10,0.0004186666008908728,0.0004120397021964462,5.465051455889434e-08,0.0001649509869355161
6,4EFB.2.15,0.0001659422521451106,0.00069987197865211,9.415621119508868e-05,1.546197520292546e-05,0.001167196013371185,8.55802181691273e-05,4.364689727113341e-05,0.0005206742473061825,0.0001434170300636834,0.0003566215239609987
7,4EFB.2.16,0.002154635634255692,4.446149141215738e-07,0.001771482115146682,0.0009076331641755037,9.94332497499549e-07,2.080175571727424e-05,0.2272769228518867,0.004807669032207623,8.053188158076878e-06,0.0004833941077406002
8,5408.2.2,0.002919572708630315,0.0008308423330936617,0.0002613634354783674,0.2015331170526148,0.0001230024873105174,6.46402484492626e-08,0.000109242212769607,0.0001877483575107284,4.531110820467537e-06,1.295996851643903e-05
9,5408.2.20,0.006412837416257264,2.756908428359652e-11,0.0002560041771264922,0.2006778064958058,0.0005101409941440708,4.625818338034933e-06,0.0001795674610709182,0.00011230146589557,4.282576910949287e-05,8.518588135664887e-05
10,5408.2.4,0.003177300077194429,0.001648100924738324,0.0002728645868917446,0.2097442347603892,0.0001568587444353058,4.475422420024109e-05,0.0005004512427087537,5.121422798774433e-05,4.363742840988392e-05,2.246536781818956e-05
11,5408.2.5,0.002925939516280721,7.040110871218552e-06,7.130584984800533e-06,0.2473551122118273,0.0001942856679477521,3.127804629215726e-06,3.627526141392243e-14,5.363543334456138e-05,7.736784455044087e-08,2.872987103612746e-05
12,5408.2.6,0.0025205475793884,0.0005443855256265995,0.0003319808524627915,0.2123263426255192,8.52319600127035e-07,1.224486577142235e-06,4.271540063763134e-05,0.0001366448290336345,1.799218735569798e-06,1.571652614436041e-05
13,5408.2.7,0.008485117535570273,0.0002294047091168987,0.0002642985473812783,0.2440873369186874,8.511414197148716e-05,8.422435778178865e-06,3.455287731208706e-05,0.0005614717431694727,1.407155820594701e-05,5.931522671857109e-05
14,5408.2.9,0.002238256038763805,0.00116732508388312,0.0003705757463317865,0.2063963852438964,6.853424237610285e-05,2.006806307728507e-06,3.079888021675999e-05,0.0002949113369184776,3.060689252307325e-07,9.166731602313403e-05
15,5411.2.19,0.0003171709992335906,2.114314749491734e-05,0.2285244193145601,1.073107461991501e-05,0.0006747251693542351,3.193279768527952e-05,0.00016516870791758,0.0002341829334585981,0.001707733872260517,1.958962389410476e-05
16,5411.2.2,0.0003059943329821592,3.053552193405255e-05,0.2138428805756974,4.208190355801656e-06,3.717247125631051e-05,1.861496874543421e-07,3.876731217546724e-05,1.891529715727826e-05,0.0009273364800937835,3.344008830200231e-05
17,5411.2.20,9.385259049729822e-06,2.199453816596843e-05,0.2107800684827843,2.985028167437102e-06,1.396450494749776e-06,1.425712040556497e-07,0.0008623325486702437,9.031200115422208e-11,0.001375998106025381,0.0001179091054060123
18,5411.2.3,2.664985217505705e-05,1.531625870485527e-06,0.2009415175719213,3.434970025540754e-06,0.0002548051007376852,8.923940990900862e-05,3.267259051429373e-05,8.427291135522468e-08,0.0004382788855912847,3.159000597223645e-05
19,5411.2.4,9.241565224208738e-05,1.540667629480755e-05,0.2015366756961858,8.434799730067891e-05,5.601001724970908e-05,3.439652478173046e-05,0.0004665132036488899,0.0005065898634432387,0.0001002281867687204,5.592027382328291e-05
20,5411.2.5,3.514013178239019e-06,3.107491938453908e-05,0.2069281027120738,6.395879296386557e-06,0.0001082352168725018,9.798622479715927e-05,4.58023172219613e-07,1.562867241281533e-08,0.0004213625241717747,2.187081449366934e-06
21,5411.2.6,3.170447280732774e-07,6.281403545416918e-05,0.2052356366694059,1.151173598013527e-06,1.180924384142438e-05,3.353764580195243e-05,3.769559119365434e-05,5.890290575494578e-05,0.0001389649248534968,1.522340137272646e-05
22,5411.2.7,0.0001297560808619618,3.185112071031692e-05,0.2018428910060523,6.208364119914546e-05,5.603328693495077e-05,2.315737602842862e-05,5.292899728938381e-05,0.0001045692259157783,0.0001700194319454173,2.199820486307762e-05
23,5411.2.8,5.188755949788313e-05,1.722890498028301e-06,0.2201239901671652,1.578647836365216e-06,0.000140126626522216,3.416461588436918e-05,6.49874199490549e-05,1.226009474339255e-06,5.161158157814914e-05,2.632914471259965e-06
24,5411.2.9,3.13313637323398e-06,1.808066196566492e-06,0.212170966986525,1.873616779569005e-05,1.681472567393607e-05,3.980143598064182e-06,2.410855027262625e-08,1.249219116622128e-08,1.828745064809307e-05,1.570270631813416e-06
25,56E0.2.1,0.01386422347544329,3.508458020948243e-06,0.001435276244208296,1.242632347579767e-05,0.00221571465570488,0.0002089401914270284,0.0005186841638256041,0.0003157163761892407,0.002194096730855197,0.0002787865214897379
26,56E0.2.10,0.002245440644913401,4.61072596335309e-09,0.009459335667455463,0.01225899887796817,0.003898257904915533,0.0002369989662015492,0.001643613953702459,0.0008863770073567125,0.002257625845761856,0.0001626155456249004
27,56E0.2.11,9.868458244696149e-05,3.639012553015331e-05,0.0004452167515263381,0.003771572333651223,7.105226992365465e-05,5.477019917476715e-05,0.001508961969159066,8.313423269369257e-05,0.0005075548200208612,0.0001009166466491496
28,56E0.2.12,0.0004713665139947541,0.0001705658261511397,0.008451919020702626,0.001341026539344818,0.0009234982550817688,0.0003933338231400246,0.001240493553754179,0.0001542042512551483,0.003510962397385424,0.0004968239944644801
29,56E0.2.13,0.000527267649801886,5.849117351456677e-05,0.002258593086457354,0.0001118594352290434,0.0005969678298148493,9.678194902905007e-05,0.0003625542172366336,1.870585456718363e-05,0.0001600373151555809,0.000130316664016811
30,56E0.2.14,0.0003431782071968291,2.482863711923622e-07,0.001729165979344683,0.005077079877295564,0.0006094760228591304,0.0001492156466190836,0.003015531763390394,0.0003047756717136787,0.0002169977085434683,0.0003847117165449973
31,56E0.2.15,0.0003558610975918049,2.96332183798652e-05,0.004613167955302093,0.006209330927747284,0.0009768761413031645,0.0002347320678957378,0.001079868297166876,0.0001598377852033347,0.0004927312911224838,0.0005088673672454006
32,5728.2.1,0.005257236227037329,0.0003270393743886431,0.0005891999119172069,6.624045071728907e-08,0.0008082971972707707,7.524866862235839e-06,0.04013899658068588,0.2340412968440834,0.002127537899061073,7.955554926182742e-05
33,5728.2.10,0.116774963376737,0.000206047096955384,3.406317075047398e-05,0.00331994720688608,0.0001784718928352799,1.165280130605346e-05,0.05924343269282156,0.208643444810488,0.0007471370436958902,0.0003000205715038944
34,5728.2.11,0.08326891063585805,8.939415612180487e-05,7.284253575291652e-07,0.002885826985028831,5.526790281696444e-06,3.632148297788915e-06,0.04736958012302066,0.2015236115661416,2.581509108311135e-06,4.281999561980221e-05
35,5728.2.12,0.004390785160869467,0.006627490016978835,0.0002810420459220243,0.001627193669095881,0.001967122345546361,0.0001143432199459785,0.04413450175393509,0.2088493733887666,0.0001374047285961677,0.0001328879943618367
36,5728.2.13,0.02337634141659011,0.0002037972179007627,3.599246603480933e-05,0.0004515216759345154,1.944834006885956e-07,1.086517719209641e-06,0.04820674743804401,0.2014990793019035,3.487090411785726e-06,2.058693495885106e-05
37,5728.2.14,0.007643447638780956,0.0001787249627783469,9.768678652180263e-05,6.912802117836163e-05,0.0003130531629527041,0.0003194763680565805,0.07432895265306506,0.2173829555489332,0.0006957097691310443,0.0002830526683128876
38,5728.2.15,0.1016342311911938,0.000397440647870978,0.0001338139109563151,0.00268712958239091,0.001552475117800032,5.048884961686428e-06,0.04893604990729951,0.2134951507093067,0.0001708133654975794,0.0009062855591652435
39,5728.2.16,0.00410679303993508,0.000332289787227216,0.002629720404213214,3.038248694992147e-07,0.001023605138857751,4.515251763019147e-06,0.0493846071486869,0.2188815770767831,0.000234572455227798,0.0002914289110573727
40,5728.2.17,0.04261130359072152,0.001171669261524543,0.002834142056818734,0.0003422043287407808,0.001786261815186377,0.002635783834412416,0.05076220164361938,0.2070636948072002,0.003244641133640487,0.0005256277248049147
41,5728.2.18,0.01893566555303083,0.00343426209941253,0.00139757222618571,0.0002336048689866833,0.002498984615107601,0.0002149085579627873,0.06417939579284404,0.2336989190580837,0.0001952058091798618,0.0007969201905478112
42,5728.2.19,0.02968081213687542,0.001275789531088048,0.0004415371970499426,3.235150293373076e-06,0.001826903419303972,4.606498775926559e-06,0.03316124575087497,0.2366728400836592,1.562325598611055e-05,0.0005917657089820393
43,5728.2.2,0.03473271758880684,0.0003283384008192741,0.0004040875677830975,0.0005081635410353417,0.001579063543193455,0.0008436704009873193,0.04896128287014002,0.2065695025779424,0.001118603308725634,0.000128193573359844
44,5728.2.20,0.001818455339675528,0.001114156162665684,6.957069919859533e-05,0.0002368332929659472,0.001182259675996906,3.331578980146053e-07,0.05131941671756306,0.2197483756532827,0.001351390949417719,0.0001005859667991673
45,5728.2.3,0.02213252101392257,0.0006873940569262891,0.000880585014154718,0.0001758978391528696,0.001101271397894923,3.154127838854461e-06,0.04045206675942623,0.2316902033249443,0.00129222235466576,0.0005242311382312121
46,5728.2.4,0.007373677273215372,0.0006706464816407685,0.0009928372497049703,2.68626444059631e-05,0.001041317746827922,0.0001172710634869491,0.07829463228657009,0.2266672121426846,0.0008556672454573208,3.922001645557953e-05
47,5728.2.5,0.004590337355930618,0.0005046546749106508,5.053355786822487e-05,8.168094716697741e-05,0.0002082088032730385,2.422502414307203e-05,0.03086152007581434,0.2141103642682029,0.0007285366480664769,3.775011884901103e-05
48,5728.2.6,0.004168108758671666,0.0003327438767746761,0.001423234995528628,1.165217893265263e-05,0.001132590369879489,0.000118329484730963,0.04342300043030464,0.2067655984785478,0.0001799943982051346,0.0002925990516803712
49,5728.2.7,0.005117441944845365,3.751096271724797e-05,4.183434426518348e-05,0.0002132403132245023,0.0007664147708228712,9.794885305794517e-05,0.0829593826881792,0.2098112205415376,0.0001702557838663141,0.0004333159429932879
50,5728.2.8,0.01368403606399131,0.0002347470824817169,0.0001765771375407632,0.0002168850867467188,0.00137001120994723,1.316470438339617e-06,0.1035843246176095,0.2111187176037634,0.0006246242141388165,0.0009548331231468866
51,5728.2.9,0.009884851174805311,0.00136576306604631,0.003547811755033124,1.914727494406681e-06,0.0008934326288767988,1.796752147296578e-05,0.04070970037165156,0.2270178445596126,0.001195821450464838,0.0001104945778587221
52,5B57.2.19,2.272849454177667e-10,0.0001259129542016346,2.142350313480663e-13,0.0001039311019648443,8.018047142691526e-06,5.428338554895492e-05,4.046848825355635e-08,6.005126762456346e-06,0.2345390688617586,3.929836357928309e-07
53,5B57.2.2,0.0001135809190208013,0.0001204438007836574,0.0007360879665812935,0.0001177921496651274,1.344822702890297e-05,4.96549248115493e-05,6.882365155460121e-05,6.934561181910816e-06,0.2134088406645518,1.899474782355311e-07
54,5B57.2.20,0.0003466454660824226,0.0006663377800940487,0.0005430508280043154,0.0001253145688239524,0.0003782247325186777,1.050576577356385e-05,0.0001774030477216589,0.0002078899779623108,0.2005685538736553,1.237017758466246e-06
55,5B57.2.3,2.675313910044624e-05,0.0006193584904435808,1.247624550271349e-06,0.0002075025839860842,3.097185851357409e-06,9.414225568808925e-05,1.810146216022557e-05,4.679826274146762e-05,0.2019581904501963,1.993413078852742e-05
56,5B57.2.4,3.352263437061039e-05,1.001768683770679e-05,0.00075961629713472,1.527444648192455e-05,5.628905193745753e-06,1.064326871869825e-05,5.492220207044465e-05,1.415770836715478e-06,0.2127342427085189,2.038161377740909e-07
