,Genes,89D2,4F4D,5F62,4F55,5E8F
0,4F4D.01.1,5.626995306754262e-05,0.0550709329519682,2.5449457973563e-06,0.00113465631916279,0.0001972765374830653
1,4F4D.01.10,0.0007063942853542132,0.05198252314168395,2.304512691038509e-06,0.0005473014300769855,0.0001927106562411184
2,4F4D.01.100,7.321146322264012e-05,0.05783194606052259,1.354548035267274e-06,4.685416939304588e-05,0.001307682328756083
3,4F4D.01.11,5.442147232461132e-05,0.05816360359077444,4.127960681728352e-07,0.0007587329111159957,3.875649756499129e-05
4,4F4D.01.12,3.976313372033364e-06,0.06295802337493508,4.835671606320122e-06,0.0001626418455415272,0.0001906832239261574
5,4F4D.01.13,0.0002396841312866932,0.05548872429661784,2.135497169255776e-06,0.000452467911480389,0.000185468659171486
6,4F4D.01.14,0.0005117069433563255,0.05213912196506705,7.66096069020474e-06,0.0007866856326089641,0.0002983997274679716
7,4F4D.01.15,0.0008808542819639518,0.05231777788300907,7.695893399853603e-06,0.0006950306258941614,0.00049369681449296
8,4F4D.01.16,0.0002008231686154197,0.0757843840262928,2.513896699048916e-06,0.001203646459136799,0.0005981202272517668
9,4F4D.01.17,7.028069351890612e-05,0.05039994932107874,3.12877689201921e-05,0.0004078714998729683,0.0001882191271230005
10,4F4D.01.18,5.353247273464017e-05,0.05052983588213578,5.012501141948688e-06,0.001306584674583254,0.0005676408014090162
11,4F4D.01.19,4.476902282847014e-05,0.05241808616703787,1.449626584699749e-05,8.613700575110277e-05,0.0002305070184516214
12,4F4D.01.2,0.001083405563398999,0.05650401489289319,2.108261237754151e-06,0.0003743798781813663,0.000244106736042789
13,4F4D.01.20,0.0008427798564900745,0.05375281818233756,9.812837181206367e-16,0.000631071128673323,0.0006594227059919545
14,4F4D.01.21,0.0002153024834211193,0.05271983636811497,1.756186125362003e-05,0.0001409237559683092,0.0007054356173626162
15,4F4D.01.22,0.001555998139433866,7.833871338206234e-11,5.344114150830285e-06,5.064251052004051e-09,4.11996019437311e-05
16,4F4D.01.23,4.04534529092782e-05,0.05457284864453067,8.978991160722893e-06,3.476761146435271e-05,0.0002744191733754551
17,4F4D.01.24,0.0001564629655107842,0.05244908796679169,4.465679829722388e-07,0.00123258065869932,0.0002163816963262694
18,4F4D.01.25,0.0006238724212977776,0.067054581738413,9.591079756015553e-06,0.001288758308585054,0.001841721706220279
19,4F4D.01.26,0.0004072521997746929,0.05039395692792974,1.880010058343047e-07,0.001457744447706913,0.000304948925241277
20,4F4D.01.27,0.0002870810452537166,0.06107266157113577,2.947270205197288e-05,0.001679821412964989,0.001201145871326204
21,4F4D.01.28,0.0008348063683846367,0.05385829588740609,2.630785243295072e-07,0.0006852699394624594,0.000113100490077307
22,4F4D.01.29,0.001000829504576159,0.05263158891781858,3.082446507255082e-06,0.00123584211239307,0.0003825106329768876
23,4F4D.01.3,0.0003343348295150548,0.05489274337324428,0.0001213783305816335,0.003485084438271196,0.0002227503212165851
24,4F4D.01.30,0.001814501642472983,0.05194994108520563,4.929833400201235e-05,0.0001675885176772817,0.0008074048187297971
25,4F4D.01.31,1.783528668302364e-06,0.05352772664582123,2.527436406646715e-06,0.000164936062942364,0.0003923540814264994
26,4F4D.01.32,0.0008347193576827658,0.0529846210811793,0.0003639189020315533,0.0005779857026575506,0.001597835728303992
27,4F4D.01.33,4.561742967460234e-10,4.963072894222598e-14,9.078865985443386e-22,8.269273230931347e-13,3.408828533681777e-10
28,4F4D.01.34,0.0004815375034730678,0.07618148573421918,2.761712221528946e-07,0.001247181801279609,0.0004731147529017887
29,4F4D.01.35,2.601939450380003e-05,0.05535290508864752,9.330887807987492e-06,0.0002976074496224857,0.0001433282577959938
30,4F4D.01.36,5.247359837424673e-05,0.0570488048274817,2.896444626659851e-06,0.0002969928693895658,0.0004626556153801591
31,4F4D.01.37,0.0001236066910435385,0.05496201378492742,9.909339100504706e-06,0.0002689473661740842,0.0009738922678898352
32,4F4D.01.38,0.0006192750867672368,0.05174818203359949,5.591788163667719e-06,0.0004543430632761348,0.0004412252854335119
33,4F4D.01.39,4.160306878868063e-05,0.0641795630027895,5.712039820221443e-05,0.001317888715590176,0.000400901736660878
34,4F4D.01.4,0.002266949370667757,0.05133395651467338,5.092289428141914e-06,7.193010786457942e-05,0.001303689233419863
35,4F4D.01.40,0.0002632432552386613,0.05114312915221787,4.525344826234719e-05,0.0003332691694624885,0.0004720070062850253
36,4F4D.01.41,6.63186043533272e-05,0.05127809934687564,6.313700840628579e-06,0.0008773968854402905,0.0006933253628806696
37,4F4D.01.42,4.600565909743415e-05,0.05409978940783129,4.778580253698189e-05,0.0004018489938162949,0.0005532706492175186
38,4F4D.01.43,0.0001845195165516883,0.05944554179278937,2.921927479109647e-05,0.001376065035270251,0.001250920179429364
39,4F4D.01.44,9.800275663145611e-05,0.06688023757580755,4.479511390704291e-07,0.0004714596558285221,0.0008700778120781384
40,4F4D.01.45,0.0002277826989819624,0.0540847111456341,1.005373971147325e-05,0.001344940607606209,0.0005925977180202366
41,4F4D.01.46,4.645192846945412e-05,0.06174820921826795,2.447023318820325e-09,0.0002560328063548214,0.0005035152854252086
42,4F4D.01.47,0.0003574778687576814,0.0516582864102136,9.491133714007128e-06,0.0003809995035951222,0.0003965393589889558
43,4F4D.01.48,7.034527150518267e-06,0.05580142552457376,5.707257690516832e-05,0.000264860657784806,5.709438569218119e-05
44,4F4D.01.49,1.750181098389137e-05,0.05425665499393997,1.018885081558218e-05,0.001397966712318719,0.0007617710554700865
45,4F4D.01.5,0.001535639875581716,0.06043697999446293,4.482879371891047e-08,0.0003559486627572098,8.736020550166114e-06
46,4F4D.01.50,7.557115691365724e-06,1.173778988025589e-09,7.338834496021906e-15,6.240520204153277e-08,5.918146414313688e-09
