,Genes,89D2.han,4F4D.han,5F62.han,4F55.han,5E8F.han
0,4F4D.01.1,5.626995306754262e-05,0.0550709329519682,9.790308761985988e-07,2.724864098151596e-06,7.58556638792889e-05
1,4F4D.01.10,5.254968367019424e-05,0.05198252314168395,2.96733815128499e-08,0.0005473014300769855,6.97122091454636e-15
2,4F4D.01.100,8.012830058547632e-06,0.05783194606052259,1.124982321607589e-07,4.685416939304588e-05,1.942810175860127e-06
3,4F4D.01.11,9.406460563947681e-05,0.05816360359077444,1.170415018330941e-07,0.0007587329111159957,7.987073824408041e-11
4,4F4D.01.12,4.349938661332886e-06,0.06295802337493508,4.835671606320122e-06,2.388884911079384e-06,6.037643907810244e-05
5,4F4D.01.13,3.632516248674682e-05,0.05548872429661784,2.452607867795878e-07,0.000452467911480389,0.000322085731837089
6,4F4D.01.14,0.0005175145647877,0.05213912196506705,7.356200434037376e-06,0.0007866856326089641,0.0001275414941402785
7,4F4D.01.15,0.0008345818687795193,0.05231777788300907,9.561819302065585e-06,0.002262434453999862,1.392349922236094e-14
8,4F4D.01.16,1.618711324508307e-05,0.0757843840262928,9.171726344660336e-07,0.001002547846853611,0.00027253478863653
9,4F4D.01.17,6.314027819785984e-05,0.05039994932107874,2.000002101977426e-07,0.002640675912453279,0.0001882191271230005
10,4F4D.01.18,0.0001465156590442615,0.05052983588213578,1.626300109223927e-05,8.556179711871135e-06,0.0001172510264276468
11,4F4D.01.19,1.392665910869297e-06,0.05241808616703787,3.631561943387287e-08,8.613700575110277e-05,4.199387762054947e-05
12,4F4D.01.2,4.352125374408744e-07,0.05650401489289319,1.729223364718757e-06,0.0004101393070643856,7.352779656603884e-18
13,4F4D.01.20,0.0001293128187960674,0.05375281818233756,1.327994073477799e-06,0.000631071128673323,9.830130206137951e-05
14,4F4D.01.21,1.378895330230768e-05,0.05271983636811497,1.056669941730561e-05,0.0001409237559683092,0.0005384041294295073
15,4F4D.01.22,4.053993247098425e-07,5.97097380128919e-11,2.531316842569118e-07,0.0005381163320076918,6.344417101047913e-07
16,4F4D.01.23,4.070664886130273e-07,0.05457284864453067,2.7704673989903e-06,1.120322014876828e-07,1.468947101896908e-05
17,4F4D.01.24,0.0001110897172037749,0.05244908796679169,3.49212999077007e-07,0.00123258065869932,3.68242057186731e-14
